level,class_idx,class_name,proto_idx,purity,n_samples
1,1,LV,0,0.0,50
1,1,LV,1,0.0,50
1,1,LV,2,0.0,50
1,1,LV,3,0.14,50
1,2,RV,0,0.12,50
1,2,RV,1,0.0,50
1,2,RV,2,0.02,50
1,2,RV,3,0.0,50
1,3,LA,0,0.1,50
1,3,LA,1,0.06,50
1,3,LA,2,0.0,50
1,3,LA,3,0.28,50
1,4,RA,0,0.0,50
1,4,RA,1,0.18,50
1,4,RA,2,0.2,50
1,4,RA,3,0.0,50
1,5,Myo,0,0.06,50
1,5,Myo,1,0.02,50
1,5,Myo,2,0.0,50
1,5,Myo,3,0.04,50
1,6,Aorta,0,0.06,50
1,6,Aorta,1,0.04,50
1,6,Aorta,2,0.02,50
1,6,Aorta,3,0.0,50
1,7,PA,0,0.0,50
1,7,PA,1,0.0,50
1,7,PA,2,0.0,50
1,7,PA,3,0.06,50
2,1,LV,0,0.22,50
2,1,LV,1,0.0,50
2,1,LV,2,0.18,50
2,2,RV,0,0.56,50
2,2,RV,1,0.08,50
2,2,RV,2,0.4,50
2,3,LA,0,0.14,50
2,3,LA,1,0.24,50
2,3,LA,2,0.02,50
2,4,RA,0,0.06,50
2,4,RA,1,0.06,50
2,4,RA,2,0.38,50
2,5,Myo,0,0.66,50
2,5,Myo,1,0.0,50
2,5,Myo,2,0.18,50
2,6,Aorta,0,0.22,50
2,6,Aorta,1,0.04,50
2,6,Aorta,2,0.14,50
2,7,PA,0,0.18,50
2,7,PA,1,0.1,50
2,7,PA,2,0.0,50
3,1,LV,0,0.9,50
3,1,LV,1,0.08,50
3,2,RV,0,0.82,50
3,2,RV,1,0.7,50
3,3,LA,0,0.8,50
3,3,LA,1,0.84,50
3,4,RA,0,0.94,50
3,4,RA,1,0.18,50
3,5,Myo,0,0.72,50
3,5,Myo,1,0.42,50
3,6,Aorta,0,1.0,50
3,6,Aorta,1,0.82,50
3,7,PA,0,0.38,50
3,7,PA,1,0.34,50
4,1,LV,0,0.76,50
4,1,LV,1,1.0,50
4,2,RV,0,0.4,50
4,2,RV,1,1.0,50
4,3,LA,0,1.0,50
4,3,LA,1,1.0,50
4,4,RA,0,0.76,50
4,4,RA,1,1.0,50
4,5,Myo,0,0.68,50
4,5,Myo,1,1.0,50
4,6,Aorta,0,0.58,50
4,6,Aorta,1,1.0,50
4,7,PA,0,0.4,50
4,7,PA,1,0.96,50
