level,class_idx,class_name,proto_idx,purity,n_samples
1,1,LV,0,0.12,50
1,1,LV,1,0.06,50
1,1,LV,2,0.12,50
1,1,LV,3,0.02,50
1,2,RV,0,0.0,50
1,2,RV,1,0.12,50
1,2,RV,2,0.0,50
1,2,RV,3,0.0,50
1,3,LA,0,0.0,50
1,3,LA,1,0.0,50
1,3,LA,2,0.0,50
1,3,LA,3,0.16,50
1,4,RA,0,0.1,50
1,4,RA,1,0.0,50
1,4,RA,2,0.0,50
1,4,RA,3,0.0,50
1,5,Myo,0,0.04,50
1,5,Myo,1,0.0,50
1,5,Myo,2,0.12,50
1,5,Myo,3,0.12,50
1,6,Aorta,0,0.04,50
1,6,Aorta,1,0.0,50
1,6,Aorta,2,0.0,50
1,6,Aorta,3,0.02,50
1,7,PA,0,0.0,50
1,7,PA,1,0.02,50
1,7,PA,2,0.0,50
1,7,PA,3,0.02,50
2,1,LV,0,0.14,50
2,1,LV,1,0.08,50
2,1,LV,2,0.34,50
2,2,RV,0,0.0,50
2,2,RV,1,0.12,50
2,2,RV,2,0.02,50
2,3,LA,0,0.04,50
2,3,LA,1,0.12,50
2,3,LA,2,0.32,50
2,4,RA,0,0.2,50
2,4,RA,1,0.16,50
2,4,RA,2,0.04,50
2,5,Myo,0,0.22,50
2,5,Myo,1,0.1,50
2,5,Myo,2,0.04,50
2,6,Aorta,0,0.46,50
2,6,Aorta,1,0.12,50
2,6,Aorta,2,0.04,50
2,7,PA,0,0.2,50
2,7,PA,1,0.02,50
2,7,PA,2,0.3,50
3,1,LV,0,0.0,50
3,1,LV,1,0.44,50
3,2,RV,0,0.58,50
3,2,RV,1,0.0,50
3,3,LA,0,0.06,50
3,3,LA,1,0.86,50
3,4,RA,0,0.02,50
3,4,RA,1,0.04,50
3,5,Myo,0,0.6,50
3,5,Myo,1,0.02,50
3,6,Aorta,0,0.28,50
3,6,Aorta,1,0.12,50
3,7,PA,0,0.46,50
3,7,PA,1,0.0,50
4,1,LV,0,0.48,50
4,1,LV,1,0.08,50
4,2,RV,0,0.56,50
4,2,RV,1,0.94,50
4,3,LA,0,1.0,50
4,3,LA,1,0.0,50
4,4,RA,0,0.02,50
4,4,RA,1,0.92,50
4,5,Myo,0,0.52,50
4,5,Myo,1,0.92,50
4,6,Aorta,0,0.98,50
4,6,Aorta,1,0.08,50
4,7,PA,0,0.86,50
4,7,PA,1,0.0,50
